timestamp,hour,day_of_week,day,outdoor_temperature,humidity,solar_context,floor_level,room_area,building_orientation,distance_to_external_wall,NDVI,occupancy,hvac_status,hvac_runtime,indoor_temperature,temperature_delta,humidity_delta,outside_inside_temp_diff,rolling_mean,rolling_std,energy,historical_energy,power_ratio
2025-01-01 00:00:00,0,2,1,16.815384805297203,60.73658398311147,0.0,2,45.0,180,2.0,0.45,0,0,0.0,22.0,0.0,0.0,-5.184615194702797,22.0,0.0,5.401794519881098,12.450982570732553,0.43384483828438
2025-01-01 01:00:00,1,2,1,14.355045000194618,52.22191422284057,0.0,2,45.0,180,2.0,0.45,0,0,0.0,21.567266912778503,-0.4327330872214965,-8.514669760270905,-7.212221912583885,21.783633456389254,0.30598850041811115,6.418585224397933,12.450982570732553,0.5155083293976771
2025-01-01 02:00:00,2,2,1,14.61319660719287,63.46390814514825,0.0,2,45.0,180,2.0,0.45,0,0,0.0,21.512897634029873,-0.054369278748630734,11.241993922307685,-6.899701026837002,21.69338818226946,0.2669215422121866,5.943448765024547,12.450982570732553,0.47734777004630125
2025-01-01 03:00:00,3,2,1,17.47428058677124,61.96353534374722,0.0,2,45.0,180,2.0,0.45,0,0,0.0,21.14082734716298,-0.3720702868668937,-1.500372801401035,-3.666546760391739,21.406997297990454,0.23210738174503698,5.400128664795106,12.450982570732553,0.43371104522214343
2025-01-01 04:00:00,4,2,1,17.662867355364888,62.18082106830877,0.0,2,45.0,180,2.0,0.45,0,0,0.0,21.29229651950206,0.15146917233908042,0.21728572456154893,-3.6294291641371714,21.31534050023164,0.18710249431314965,5.351587711636409,12.450982570732553,0.4298124811624042
2025-01-01 05:00:00,5,2,1,17.46043391587757,64.33199224250835,0.0,2,45.0,180,2.0,0.45,0,0,0.0,21.108673992440792,-0.18362252706126725,2.1511711741995825,-3.648240076563223,21.180599286368608,0.09805948945525082,4.546876159224258,12.450982570732553,0.3651821158204981
2025-01-01 06:00:00,6,2,1,19.381962090470637,70.3547727984262,0.0,2,45.0,180,2.0,0.45,0,0,0.0,20.91148795280019,-0.19718603964060222,6.022780555917848,-1.5295258623295531,21.104152821581014,0.19044453748491172,4.086728726304869,12.450982570732553,0.32822539932801675
2025-01-01 07:00:00,7,2,1,20.639242453053264,77.42121673100391,0.0,2,45.0,180,2.0,0.45,0,0,0.0,20.96466115133986,0.05317319853967106,7.066443932577712,-0.3254186982865974,20.994941032193616,0.1020207672274475,4.841041289202672,12.450982570732553,0.38880797251954147
2025-01-01 08:00:00,8,2,1,23.276996638384578,70.88458365276317,0.3,2,45.0,180,2.0,0.45,4,0,0.0,22.096379883275727,1.131718731935866,-6.53663307824074,1.1806167551088507,21.324176329138595,0.6692761717163163,12.513491269563486,12.450982570732553,1.0050203828072066
2025-01-01 09:00:00,9,2,1,25.379276138825695,68.10304880659201,0.3,2,45.0,180,2.0,0.45,3,1,1.0,22.758138031503574,0.6617581482278467,-2.781534846171155,2.621138107322121,21.939726355373054,0.9069427080988585,23.048326044314734,12.450982570732553,1.8511250749392614
