timestamp,building_id,meter_reading,site_id,outdoor_temperature,cloudCoverage,dewTemperature,precipDepth1HR,precipDepth6HR,seaLvlPressure,windDirection,windSpeed,hour,day_of_week,month,is_weekend,energy
2016-01-01 00:00:00,Rat_office_Adele,624.62,Rat,7.2,,0.0,0.0,,1021.5,350.0,5.1,0,4,1,0,624.62
2016-01-01 01:00:00,Rat_office_Adele,631.24,Rat,6.7,8.0,0.0,0.0,,1021.1,340.0,3.6,1,4,1,0,631.24
2016-01-01 02:00:00,Rat_office_Adele,634.65,Rat,5.6,8.0,0.0,0.0,,1020.8,350.0,3.1,2,4,1,0,634.65
2016-01-01 03:00:00,Rat_office_Adele,643.45,Rat,5.6,8.0,0.0,0.0,,1021.1,340.0,3.6,3,4,1,0,643.45
2016-01-01 04:00:00,Rat_office_Adele,647.8,Rat,5.6,6.0,-1.1,0.0,,1020.7,320.0,3.1,4,4,1,0,647.8
2016-01-01 05:00:00,Rat_office_Adele,633.43,Rat,5.6,6.0,-1.1,0.0,,1020.5,320.0,3.6,5,4,1,0,633.43
2016-01-01 06:00:00,Rat_office_Adele,682.94,Rat,5.6,6.0,-1.7,0.0,,1020.7,320.0,4.6,6,4,1,0,682.94
2016-01-01 07:00:00,Rat_office_Adele,894.99,Rat,5.0,8.0,-2.2,0.0,,1021.0,330.0,3.1,7,4,1,0,894.99
2016-01-01 08:00:00,Rat_office_Adele,985.07,Rat,5.0,8.0,-1.7,0.0,,1021.0,330.0,4.1,8,4,1,0,985.07
2016-01-01 09:00:00,Rat_office_Adele,972.18,Rat,5.0,8.0,-1.7,0.0,,1021.4,320.0,3.1,9,4,1,0,972.18
2016-01-01 10:00:00,Rat_office_Adele,959.92,Rat,5.6,8.0,-1.1,0.0,,1021.5,330.0,4.6,10,4,1,0,959.92
2016-01-01 11:00:00,Rat_office_Adele,912.15,Rat,6.7,8.0,-1.1,0.0,,1021.4,300.0,4.1,11,4,1,0,912.15
2016-01-01 12:00:00,Rat_office_Adele,848.6,Rat,7.2,8.0,-1.1,0.0,,1020.2,300.0,3.6,12,4,1,0,848.6
2016-01-01 13:00:00,Rat_office_Adele,832.89,Rat,7.8,8.0,-0.6,0.0,,1019.5,300.0,5.7,13,4,1,0,832.89
2016-01-01 14:00:00,Rat_office_Adele,819.78,Rat,7.2,8.0,-1.1,0.0,,1018.9,300.0,5.1,14,4,1,0,819.78
2016-01-01 15:00:00,Rat_office_Adele,816.55,Rat,7.2,8.0,-1.1,0.0,,1018.8,310.0,3.1,15,4,1,0,816.55
2016-01-01 16:00:00,Rat_office_Adele,818.87,Rat,6.7,8.0,-2.2,0.0,,1018.6,300.0,3.1,16,4,1,0,818.87
2016-01-01 17:00:00,Rat_office_Adele,861.19,Rat,6.1,8.0,-2.8,0.0,,1019.1,340.0,3.1,17,4,1,0,861.19
2016-01-01 18:00:00,Rat_office_Adele,872.58,Rat,5.0,8.0,-3.9,0.0,,1019.4,340.0,3.1,18,4,1,0,872.58
2016-01-01 19:00:00,Rat_office_Adele,663.71,Rat,4.4,4.0,-4.4,0.0,,1020.3,340.0,4.6,19,4,1,0,663.71
2016-01-01 20:00:00,Rat_office_Adele,692.78,Rat,3.9,0.0,-5.0,0.0,,1020.6,330.0,3.6,20,4,1,0,692.78
2016-01-01 21:00:00,Rat_office_Adele,648.52,Rat,3.9,0.0,-5.6,0.0,,1020.8,320.0,5.7,21,4,1,0,648.52
2016-01-01 22:00:00,Rat_office_Adele,680.1,Rat,3.3,0.0,-5.6,0.0,,1021.0,240.0,3.1,22,4,1,0,680.1
2016-01-01 23:00:00,Rat_office_Adele,663.41,Rat,3.3,2.0,-5.6,0.0,,1020.9,210.0,2.1,23,4,1,0,663.41
2016-01-02 00:00:00,Rat_office_Adele,672.63,Rat,2.8,2.0,-5.6,0.0,,1020.6,260.0,2.6,0,5,1,1,672.63
2016-01-02 01:00:00,Rat_office_Adele,683.12,Rat,2.2,2.0,-5.6,0.0,,1020.8,190.0,3.1,1,5,1,1,683.12
2016-01-02 02:00:00,Rat_office_Adele,679.08,Rat,2.2,0.0,-5.6,0.0,,1020.9,220.0,2.6,2,5,1,1,679.08
2016-01-02 03:00:00,Rat_office_Adele,703.98,Rat,1.1,2.0,-5.0,0.0,,1020.8,200.0,2.1,3,5,1,1,703.98
2016-01-02 04:00:00,Rat_office_Adele,675.19,Rat,0.6,2.0,-5.0,0.0,,1020.7,230.0,2.1,4,5,1,1,675.19
2016-01-02 05:00:00,Rat_office_Adele,698.21,Rat,0.6,0.0,-4.4,0.0,,1020.5,220.0,2.6,5,5,1,1,698.21
2016-01-02 06:00:00,Rat_office_Adele,696.08,Rat,0.6,0.0,-5.0,0.0,,1020.8,240.0,2.6,6,5,1,1,696.08
2016-01-02 07:00:00,Rat_office_Adele,755.24,Rat,0.6,2.0,-5.0,0.0,,1021.1,230.0,2.1,7,5,1,1,755.24
2016-01-02 08:00:00,Rat_office_Adele,704.81,Rat,1.1,2.0,-5.0,0.0,,1021.6,250.0,3.1,8,5,1,1,704.81
2016-01-02 09:00:00,Rat_office_Adele,716.3,Rat,3.3,2.0,-4.4,0.0,,1022.0,240.0,2.6,9,5,1,1,716.3
2016-01-02 10:00:00,Rat_office_Adele,657.92,Rat,4.4,0.0,-3.3,0.0,,1022.3,170.0,2.6,10,5,1,1,657.92
2016-01-02 11:00:00,Rat_office_Adele,661.81,Rat,6.1,0.0,-5.0,0.0,,1021.9,250.0,3.6,11,5,1,1,661.81
2016-01-02 12:00:00,Rat_office_Adele,632.3,Rat,7.2,0.0,-4.4,0.0,,1020.5,290.0,3.6,12,5,1,1,632.3
2016-01-02 13:00:00,Rat_office_Adele,643.19,Rat,7.8,0.0,-4.4,0.0,,1019.1,240.0,4.6,13,5,1,1,643.19
2016-01-02 14:00:00,Rat_office_Adele,628.07,Rat,8.9,0.0,-4.4,0.0,,1018.2,250.0,4.6,14,5,1,1,628.07
2016-01-02 15:00:00,Rat_office_Adele,608.88,Rat,8.9,0.0,-4.4,0.0,,1017.4,220.0,4.1,15,5,1,1,608.88
2016-01-02 16:00:00,Rat_office_Adele,582.85,Rat,8.9,0.0,-3.9,0.0,,1017.2,210.0,3.6,16,5,1,1,582.85
2016-01-02 17:00:00,Rat_office_Adele,598.56,Rat,7.8,0.0,-4.4,0.0,,1017.4,220.0,3.6,17,5,1,1,598.56
2016-01-02 18:00:00,Rat_office_Adele,602.12,Rat,6.7,0.0,-3.3,0.0,,1017.5,190.0,3.6,18,5,1,1,602.12
2016-01-02 19:00:00,Rat_office_Adele,623.76,Rat,6.1,0.0,-3.3,0.0,,1017.4,210.0,2.6,19,5,1,1,623.76
